"price.open","price.high","price.low","price.close","volume","price.adjusted","ret.adjusted.prices","price.highLow","price.hype"
3.826666,3.98,3.813333,3.96,59867100,3.175289,0.0421054324360335,0.166667,0.153334
3.883333,3.916666,3.79,3.79,48745200,3.038977,-0.0429290058322249,0.126666,0.0333330000000003
3.766666,3.82,3.68,3.72,25416000,2.982847,-0.0184700311979985,0.14,0.053334
3.676666,3.74,3.653333,3.653333,19284300,2.929391,-0.017921133735656,0.0866670000000003,0.0633340000000002
3.6,3.713333,3.583333,3.696666,20963400,2.964137,0.011861168413503,0.13,0.113333
3.703333,3.763333,3.613333,3.646666,47576400,2.924045,-0.0135256906141653,0.15,0.0599999999999996
3.55,3.766666,3.49,3.703333,44850000,2.969483,0.015539432532673,0.276666,0.216666
3.75,3.78,3.663333,3.663333,29395200,2.93741,-0.0108008700504432,0.116667,0.0299999999999998
3.616666,3.69,3.58,3.593333,22461300,2.88128,-0.0191086705635236,0.11,0.073334
3.593333,3.65,3.533333,3.583333,31294800,2.873262,-0.0027827909817858,0.116667,0.056667
3.663333,3.693333,3.583333,3.693333,52498800,2.961464,0.0306975138361902,0.11,0.0299999999999998
3.716666,3.856666,3.68,3.793333,35781600,3.041649,0.0270761353168569,0.176666,0.14
3.756666,3.94,3.75,3.926666,31573500,3.148561,0.0351493548400883,0.19,0.183334
3.973333,3.98,3.803333,3.85,25147800,3.087086,-0.0195247924369258,0.176667,0.0066670000000002
3.836666,3.89,3.783333,3.846666,22411500,3.084414,-0.000865541160822825,0.106667,0.053334
3.933333,3.986666,3.766666,3.856666,31295400,3.092431,0.00259919712464018,0.22,0.0533329999999999
3.833333,3.933333,3.823333,3.89,19333800,3.119161,0.0086436851784244,0.11,0.1
3.956666,3.986666,3.896666,3.973333,32949000,3.18598,0.0214221067780727,0.0899999999999999,0.0300000000000002
3.943333,4,3.88,3.923333,41429400,3.145888,-0.0125838831379984,0.12,0.056667
3.883333,3.933333,3.763333,3.766666,56097600,3.020266,-0.0399321272721724,0.17,0.0500000000000003
3.78,3.856666,3.763333,3.84,16141200,3.079068,0.0194691460950791,0.0933330000000003,0.0766660000000003
3.84,3.893333,3.763333,3.813333,24971700,3.057685,-0.00694463389571121,0.13,0.0533330000000003
3.806666,3.87,3.776666,3.82,15406800,3.063032,0.0017487085818193,0.093334,0.0633340000000002
3.83,3.87,3.74,3.793333,26403300,3.041649,-0.0069809913837009,0.13,0.04
3.793333,3.816666,3.77,3.79,16506900,3.038977,-0.00087847085577597,0.0466660000000001,0.023333
3.81,3.983333,3.77,3.953333,52311000,3.169944,0.0430957522876942,0.213333,0.173333
3.986666,4.086666,3.96,4.016666,58668300,3.220727,0.0160201568229597,0.126666,0.1
4.016666,4.05,3.993333,4.023333,20624700,3.226072,0.00165956319799831,0.056667,0.033334
4.013333,4.033333,3.953333,3.983333,24770100,3.193999,-0.0099418115900699,0.0799999999999996,0.0199999999999996
3.966666,3.996666,3.966666,3.993333,1564800,3.202017,0.00251033265821321,0.0299999999999998,0.0299999999999998
3.94,3.963333,3.84,3.84,14820000,3.079068,-0.0383973601639217,0.123333,0.023333
3.836666,3.88,3.766666,3.8,22705500,3.046994,-0.0104167884567667,0.113334,0.0433339999999998
3.963333,4.21,3.943333,4.133333,82421100,3.314275,0.0877195688603258,0.266667,0.246667
4.25,4.263333,4.053333,4.103333,44352900,3.29022,-0.00725799760128532,0.21,0.0133330000000003
4.13,4.146666,4.053333,4.076666,16190100,3.268837,-0.00649895751651874,0.0933329999999994,0.0166659999999998
4.053333,4.093333,3.9,4,37511400,3.207363,-0.0188060769013567,0.193333,0.04
4,4.083333,3.973333,4.026666,21161100,3.228745,0.00666653571797138,0.11,0.0833329999999997
4,4.083333,3.963333,4.076666,19486200,3.268837,0.012417208543877,0.12,0.0833329999999997
4.1,4.203333,4.1,4.166666,30846300,3.341002,0.0220766590686534,0.103333,0.103333
4.17,4.216666,4.04,4.073333,35934600,3.266165,-0.0223995675548833,0.176666,0.0466660000000001
4.073333,4.083333,3.963333,4,44784600,3.207363,-0.0180033770492305,0.12,0.00999999999999979
3.97,4.073333,3.97,4.003333,39994500,3.210036,0.000833394910398466,0.103333,0.103333
4.05,4.106666,4.016666,4.03,44406600,3.231418,0.00666098448740149,0.0899999999999999,0.0566659999999999
4.04,4.166666,4.023333,4.133333,42590700,3.314275,0.0256410653155983,0.143333,0.126666
4.186666,4.193333,4.05,4.07,45818700,3.263492,-0.0153225064305165,0.143333,0.0066670000000002
4.086666,4.166666,4.086666,4.15,26338500,3.327638,0.0196556326781252,0.0800000000000001,0.0800000000000001
4.076666,4.123333,4.033333,4.046666,28504200,3.291458,-0.0108725768848654,0.0899999999999999,0.0466669999999993
4.01,4.073333,3.95,4.046666,50548800,3.291458,0,0.123333,0.0633330000000001
4.036666,4.076666,4.003333,4.013333,22389300,3.264346,-0.00823707913028204,0.0733330000000008,0.04
3.996666,4.03,3.886666,3.92,31810800,3.188432,-0.0232555004892251,0.143334,0.0333340000000004
3.85,3.93,3.79,3.79,86900400,3.082693,-0.0331633229123282,0.14,0.0800000000000001
